train_loss,val_loss,val_f1,val_acc
0.47765007132993026,0.26570102740467216,0.8876774333335,0.8886554621848739
0.43813348990403306,0.23150857608998193,0.8965510014238374,0.8970588235294118
0.4373741906856288,0.24518301161006092,0.8855640636361832,0.8865546218487395
0.41781712098031487,0.2678649037533129,0.8722706087092547,0.8739495798319328
0.4226972499564916,0.2258705277577974,0.8901683546639444,0.8907563025210085
0.3733128754406416,0.23571272239787505,0.9032361398567373,0.9033613445378151
0.34612585926631917,0.23426479703436295,0.8943713465535097,0.8949579831932774
0.3518891048093303,0.22552131808673342,0.8927006481880234,0.8928571428571429
0.34718436459783747,0.21687987933401018,0.9096381701651953,0.9096638655462185
0.31343746199389966,0.2764736624667421,0.890062730124842,0.8907563025210085
0.2727063653223655,0.2664279560752523,0.8987093993325743,0.8991596638655462
0.24007645686070958,0.2761176420220484,0.8946885251710369,0.8949579831932774
0.2510482036359921,0.27568839660380035,0.8922373611280261,0.8928571428571429
0.2461046072490075,0.26902486352482813,0.892251598268408,0.8928571428571429
