股票代码,股票名称,综合得分,推荐理由
300641.SZ,正丹股份,48.72,ROE高，低估值，交易活跃，近期强势
603558.SH,健盛集团,47.11,ROE高，低估值，交易活跃，近期强势
920187.BJ,通领科技,40.98,ROE高，交易活跃
601975.SH,招商南油,40.82,低估值，交易活跃，近期强势
603817.SH,海峡环保,39.11,交易活跃，近期强势
601083.SH,锦江航运,37.75,交易活跃
001220.SZ,世盟股份,37.65,交易活跃
301309.SZ,万得凯,37.58,交易活跃，近期强势
601919.SH,中远海控,35.46,低估值
002731.SZ,ST萃华,35.41,低估值，交易活跃
